Target1,Target2,well_1,well_2,well_3
-31849.17769903366,4.151975429035518,9956.919678296832,7723.336680874629,14168.9213398622
-35401.74269538625,4.701132267807325,11262.181547042333,10889.969780256772,13249.591368087147
-32276.2051534961,4.315551893243595,13289.131489661617,5359.046400037497,13628.027263796988
-37172.97521835126,4.883580506309892,9422.946175972358,13628.932546396434,14121.096495982474
-36475.94274310251,4.792951473267421,9422.946175972358,13425.217730361617,13627.778836768539
-32119.167715750154,4.1970611382731065,10226.909695013324,7723.336680874629,14168.9213398622
-35665.42137438559,4.748992266778558,11624.699728044328,10791.13027825411,13249.591368087147
-41000.551000860185,5.559182544006363,13319.754208827633,14052.76952823556,13628.027263796988
-32140.428373941864,4.199663738181117,10226.909695013324,7723.336680874629,14190.181998053911
-35060.75695460891,4.623104883563831,10234.147115342997,11577.018471178762,13249.591368087147
-41832.12709994143,5.6756751041190405,13475.649943674789,14166.295158212723,14190.181998053911
-35259.45937310516,4.651032657733756,10232.26196488642,11777.606040131594,13249.591368087147
-36618.26447258263,4.864043013074356,10338.81007501052,14080.89066409642,12198.56373347569
-34077.248987001185,4.4511438420795235,9414.95061492485,10791.13027825411,13871.168093822229
-42037.94216439119,5.723820897909387,13680.996113783958,14834.38496069828,13522.561089908948
-39471.67561159271,5.276590112000662,11632.695289084104,13628.932546396434,14210.047776112173
-39975.8446721539,5.453053472619046,14130.939144810747,13275.401693751211,12569.503833591942
-41484.07918052395,5.612760573980278,13089.189318761773,14191.639097627027,14203.250764135148
-40614.058239038255,5.5027551829399926,13319.754208827633,13659.398853830045,13634.905176380578
-31944.591743442877,4.162463701384348,9956.919678296832,7650.3309634402185,14337.341101705826
-42119.33403700651,5.734447131390747,13680.996113783958,14840.517380129328,13597.820543093228
-39671.00627040668,5.415899469203409,14366.09187428325,12735.410562531495,12569.503833591942
-37743.044043094895,4.956366346962795,9422.946175972358,13701.524838563746,14618.573028558792
-38557.70050487913,5.169594718375362,11823.439781432116,13628.932546396434,13105.328177050584
-34466.05916535108,4.595305504176357,12678.715846050573,7614.553199999,14172.790119301506
-33250.73908841339,4.331971406292317,9422.946175972358,9706.696416458564,14121.096495982474
-30457.785087123386,4.056412627880577,12554.904787435102,5127.992816122283,12774.887483565999
-41917.47503279958,5.704821098244626,13680.996113783958,14638.658375922394,13597.820543093228
-38722.84429394138,5.173703674111452,11600.728243416734,13256.178154304664,13865.937896219988
-38537.33280912917,5.0932598362401,10217.234942006631,13701.524838563746,14618.573028558792
